environment,condition,metric,source,n_runs,mean,std,min,max,q25,median,q75,mean_normalised,median_normalised,std_normalised
hard,pure_rl,avg_fitness,gen,100,6.1649478,0.4912995507877474,3.580374,6.80939,5.946518,6.317877999999999,6.4713414999999985,0.6815780077588198,0.7001760935922847,0.0597477229186476
hard,pure_rl,top20percent_fitness,gen,100,17.300183399999998,1.3017024014339642,9.946258000000002,19.504724,16.9716065,17.511343,17.9986305,0.6675877449718879,0.6767981907084066,0.05677818736871794
hard,pure_rl,best_fitness,gen,100,47.97795400000001,4.992660344732317,21.149,55.185599999999994,46.4774,48.5102,50.77815000000001,0.36911165145228225,0.37352863070539416,0.04143286593138853
hard,pure_rl,avg_learned_weight_diff,gen,100,0.00555167179999997,0.000818152420607688,0.0013331999999999,0.00712204,0.005197604999999999,0.00565615,0.0060400149999999,,,
hard,pure_rl,avg_network_weight_mag,gen,100,0.6065201600000001,0.003783687621163446,0.583668,0.613854,0.605328,0.606908,0.6082719999999999,,,
hard,pure_rl,genome_variance,gen,100,0.02179812119999997,0.01921604926928641,0.00808514,0.15510996,0.01235554,0.016723540000000002,0.024507119999999924,,,
hard,pure_rl,total_agents,gen,100,738.4551999999999,181.66337291692997,216.52,1068.04,591.8249999999999,782.4,888.4449999999999,,,
hard,pure_rl,peak_population,gen,100,288.04580000000004,57.34478034387147,177.82,411.9,235.715,295.82,332.77,,,
hard,pure_rl,avg_lifetime,gen,100,1591.5335400000001,79.68645808929246,1244.886,1754.1099999999997,1554.6875,1597.7540000000004,1641.707,,,
hard,pure_rl,cells_visited,behaviour,100,724.2516093554793,72.05406074561208,427.5812527615779,843.203315274805,688.1851647636715,734.2652588463951,766.4776649212215,,,
hard,pure_rl,predator_touches,behaviour,100,5.715395142710159,0.744716223203705,4.223376266242914,9.038683792901397,5.290163707501338,5.57044576344251,6.0517862177363515,,,
hard,pure_rl,drained_ticks,behaviour,100,12.35300262399575,1.6574051080560412,9.014576739995055,19.961383986732564,11.292362835183548,12.071659532686521,13.112247973066049,,,
hard,pure_rl,cave_entries,behaviour,100,1.1579621209956859,0.4634710737784175,0.1320106675132021,2.4867799520531144,0.8954614600268618,1.1320502884721526,1.4055628292679572,,,
hard,pure_rl,cave_entries_night,behaviour,100,0.5790179357587689,0.23387081118023562,0.06198409682647,1.2340660289628054,0.44694601527436123,0.5598492055546065,0.7005619935771711,,,
hard,pure_rl,food_prestige,behaviour,100,1.3038457744595617,0.16896508150403342,0.429168945677387,1.5951930466028028,1.2396506141671346,1.3232361284554197,1.4071379436199314,,,
hard,pure_rl,food_low,behaviour,100,2.6079415969031747,0.30798580996458685,1.96701449823276,3.24364278795059,2.398350879590933,2.6057608645722095,2.826099318993224,,,
hard,pure_rl,energy_at_death,behaviour,100,0.014129433412674119,0.7184117991080409,-1.8167329284242857,1.3139000962914913,-0.5135660443559849,0.074724385036125,0.5755319580785949,,,
hard,pure_rl,frac_death_drained,behaviour,100,0.48598178982189855,0.0543047917006542,0.3389307649493691,0.6664157171447341,0.4562802975184604,0.4800150234054425,0.513934471409895,,,
hard,pure_rl,frac_death_starved,behaviour,100,0.49861046132044445,0.05259280928760868,0.3331651204491653,0.6610692350506308,0.4712460608406059,0.4999558211935963,0.5264185198402561,,,
