panel,fraction,seed,rep,run,n_gens,avg_fitness
0.10,0.4,42,4,roam60d5_10r_evo_cull0.4_rec0.10_seed42_r4,1000,3.5752700000000006
0.10,0.4,42,5,roam60d5_10r_evo_cull0.4_rec0.10_seed42_r5,1000,3.596468
0.10,0.4,42,6,roam60d5_10r_evo_cull0.4_rec0.10_seed42_r6,1000,3.6280940000000004
0.10,0.4,42,7,roam60d5_10r_evo_cull0.4_rec0.10_seed42_r7,1000,6.4184660000000004
0.10,0.4,42,8,roam60d5_10r_evo_cull0.4_rec0.10_seed42_r8,1000,3.6697159999999998
0.10,0.4,42,9,roam60d5_10r_evo_cull0.4_rec0.10_seed42_r9,1000,7.041268
0.10,0.4,42,10,roam60d5_10r_evo_cull0.4_rec0.10_seed42_r10,1000,7.295782
0.10,0.4,999,1,roam60d5_10r_evo_cull0.4_rec0.10_seed999_r1,1000,5.91372
0.10,0.4,999,2,roam60d5_10r_evo_cull0.4_rec0.10_seed999_r2,1000,7.0801240000000005
0.10,0.4,999,3,roam60d5_10r_evo_cull0.4_rec0.10_seed999_r3,1000,3.729194
0.10,0.4,999,4,roam60d5_10r_evo_cull0.4_rec0.10_seed999_r4,1000,7.039728
0.10,0.4,999,5,roam60d5_10r_evo_cull0.4_rec0.10_seed999_r5,1000,7.037271999999999
0.10,0.4,999,6,roam60d5_10r_evo_cull0.4_rec0.10_seed999_r6,1000,6.985604
0.10,0.4,999,7,roam60d5_10r_evo_cull0.4_rec0.10_seed999_r7,1000,5.6125240000000005
0.10,0.4,999,8,roam60d5_10r_evo_cull0.4_rec0.10_seed999_r8,1000,3.657042
0.10,0.4,999,9,roam60d5_10r_evo_cull0.4_rec0.10_seed999_r9,1000,3.656616
0.10,0.4,999,10,roam60d5_10r_evo_cull0.4_rec0.10_seed999_r10,1000,7.140343999999999
0.10,0.5,1,1,roam60d5_10r_evo_cull0.5_rec0.10_seed1_r1,1000,3.8620880000000004
0.10,0.5,1,2,roam60d5_10r_evo_cull0.5_rec0.10_seed1_r2,1000,3.4167560000000003
0.10,0.5,1,3,roam60d5_10r_evo_cull0.5_rec0.10_seed1_r3,1000,3.4799319999999994
0.10,0.5,1,4,roam60d5_10r_evo_cull0.5_rec0.10_seed1_r4,1000,3.462672
0.10,0.5,1,5,roam60d5_10r_evo_cull0.5_rec0.10_seed1_r5,1000,3.456298
0.10,0.5,1,6,roam60d5_10r_evo_cull0.5_rec0.10_seed1_r6,1000,5.723515999999998
0.10,0.5,1,7,roam60d5_10r_evo_cull0.5_rec0.10_seed1_r7,1000,7.215577999999999
0.10,0.5,1,8,roam60d5_10r_evo_cull0.5_rec0.10_seed1_r8,1000,6.969427999999999
0.10,0.5,1,9,roam60d5_10r_evo_cull0.5_rec0.10_seed1_r9,1000,3.447868
0.10,0.5,1,10,roam60d5_10r_evo_cull0.5_rec0.10_seed1_r10,1000,3.7438659999999997
0.10,0.5,42,1,roam60d5_10r_evo_cull0.5_rec0.10_seed42_r1,1000,3.633102
0.10,0.5,42,2,roam60d5_10r_evo_cull0.5_rec0.10_seed42_r2,1000,3.662630000000001
0.10,0.5,42,3,roam60d5_10r_evo_cull0.5_rec0.10_seed42_r3,1000,3.661234
0.10,0.5,42,4,roam60d5_10r_evo_cull0.5_rec0.10_seed42_r4,1000,6.930006
0.10,0.5,42,5,roam60d5_10r_evo_cull0.5_rec0.10_seed42_r5,1000,7.085107999999999
0.10,0.5,42,6,roam60d5_10r_evo_cull0.5_rec0.10_seed42_r6,1000,7.158124
0.10,0.5,42,7,roam60d5_10r_evo_cull0.5_rec0.10_seed42_r7,1000,3.6372639999999996
0.10,0.5,42,8,roam60d5_10r_evo_cull0.5_rec0.10_seed42_r8,1000,3.914492
0.10,0.5,42,9,roam60d5_10r_evo_cull0.5_rec0.10_seed42_r9,1000,3.63533
0.10,0.5,42,10,roam60d5_10r_evo_cull0.5_rec0.10_seed42_r10,1000,5.71656
